date,ticker,open,high,low,close,adj_close,volume,target,tenmda,twentymda,fiftymda,hundredmda,EWMA_20,EWMA_50,EWMA_100,rsi,MiddleBand,UpperBand,LowerBand,sent_score
2016-01-04,BABA,78.18000030517578,78.30999755859375,75.18000030517578,76.69000244140625,76.69000244140625,23066300,76.69000244140625,82.39100036621093,82.83199958801269,81.59519973754882,74.12310001373291,82.0565415813071,80.24360842592793,78.63877942774837,36.51357368287668,81.89424953460693,86.97495927512924,76.81353979408462,0.0
2016-01-05,BABA,77.91999816894531,78.68000030517578,77.26000213623047,78.62999725341797,78.62999725341797,14258900,78.62999725341797,81.98899993896484,82.52099952697753,81.7479997253418,74.1756000137329,81.73020402627004,80.18032941923346,78.63860526670622,42.386058943016444,81.72549953460694,86.77955152771946,76.67144754149442,0.0
2016-01-06,BABA,77.12000274658203,78.48500061035156,76.97000122070312,77.33000183105469,77.33000183105469,11569300,77.33000183105469,81.43499984741212,82.14949951171874,81.78219970703125,74.19780002593994,81.31113715053525,80.06855163393274,78.61265485047994,39.733736045614,81.56849956512451,86.77038927347856,76.36660985677047,0.296
2016-01-07,BABA,73.29000091552734,75.5,71.54000091552734,72.72000122070312,72.72000122070312,27288100,72.72000122070312,80.22300033569336,81.56649971008301,81.70959976196289,74.17740001678467,80.49293372864646,79.78037260964328,78.49580322762257,32.0699199321228,81.35199966430665,87.25911968619656,75.44487964241674,0.0
2016-01-08,BABA,74.33000183105469,74.66000366210938,70.66999816894531,70.80000305175781,70.80000305175781,20814600,70.80000305175781,78.82300033569337,80.93549995422363,81.53679977416992,74.13350002288819,79.56979747370468,79.42820057729398,78.34319940026855,29.516430719622036,81.0862497329712,87.87032444956317,74.30217501637922,-0.34
2016-01-11,BABA,71.29000091552734,71.7300033569336,69.0199966430664,69.91999816894531,69.91999816894531,16961400,69.91999816894531,77.44400024414062,80.21499977111816,81.2881997680664,74.09390003204345,78.6507689684895,79.05532920579112,78.1761761732067,28.400267930542938,80.8379997253418,88.48014007748127,73.19585937320234,0.128
2016-01-12,BABA,71.44999694824219,72.7699966430664,71.0,72.68000030517578,72.68000030517578,13456000,72.68000030517578,76.49800033569336,79.86199989318848,81.09739974975587,74.0895000076294,78.0821243338882,78.80531586397878,78.06719572166176,36.50952878256623,80.68599967956543,88.72904562848349,72.64295373064736,0.7351
2016-01-13,BABA,72.7699966430664,73.23899841308594,70.22000122070312,70.29000091552734,70.29000091552734,12480200,70.29000091552734,75.20100021362305,79.34799995422364,80.82659973144531,74.08920001983643,77.34001734166335,78.47138137497407,77.91299035811085,33.02179298292431,80.54699974060058,89.10839357423032,71.98560590697085,0.0
2016-01-14,BABA,70.29000091552734,72.72000122070312,68.2699966430664,72.25,72.25,17719600,72.25,74.25800018310547,78.83600006103515,80.58459976196289,74.12990001678467,76.85525378531446,78.22740523504291,77.80070811712552,38.23298113995175,80.39574966430663,89.32582805029622,71.46567127831705,0.0
2016-01-15,BABA,68.69999694824219,71.0,67.54100036621094,69.58999633789062,69.58999633789062,20722500,69.58999633789062,73.09000015258789,78.0840000152588,80.30759963989257,74.167799949646,76.16332450460743,77.88868278430046,77.63791537904464,34.329260471564965,80.18224964141845,89.72209216754541,70.64240711529149,0.0
